filename,split_column,b_scan_width,en_face_width,original_width,detection_method,safety_margin_applied,trim_left_offset,scrub_offset,b_scrub_offset,final_split_column
10907481.png,1815,1676,1736,3575,divider,-10,0,24,54,1839
1954640.png,2083,1981,2032,4115,divider,-10,0,0,0,2083
20287916.png,1972,1890,1951,3923,divider,-10,0,0,38,1972
20287916_2.png,1614,1634,1750,3648,boundary,-10,0,284,0,1898
21755425.png,1712,1580,1670,3382,divider,-10,0,0,52,1712
21860674.png,1880,1714,1777,3657,divider,-10,0,0,0,1880
21860674_2.png,2158,1983,2104,4262,divider,-10,0,0,0,2158
21896237.png,1831,1686,1762,3593,divider,-10,0,0,0,1831
21896237_2.png,1871,1720,1827,3698,divider,-10,0,0,0,1871
21985444.png,1863,1715,1799,3662,divider,-10,0,0,0,1863
21985444_2.png,1914,1720,1793,3707,divider,-10,0,0,0,1914
22028370.png,1651,1584,1635,3286,divider,-10,0,0,34,1651
22028370_2.png,1637,1570,1617,3254,divider,-10,0,0,34,1637
22138604.png,2226,2133,2178,4404,divider,-10,0,0,40,2226
22138604_2.png,2240,2142,2160,4400,divider,-10,0,0,41,2240
22157242.png,1856,1780,1838,3694,divider,-10,0,0,36,1856
22157242_2.png,1742,1670,1732,3474,divider,-10,0,0,35,1742
22161106.png,1818,1732,1770,3588,divider,-10,0,0,0,1818
22161106_2.png,1993,1898,1870,3863,divider,-10,0,0,0,1993
22163937.png,1813,1727,1766,3579,divider,-10,0,0,0,1813
22163937_2.png,1761,1679,1704,3465,divider,-10,0,0,0,1761
22205914.png,1825,1740,1780,3611,divider,-10,0,0,0,1825
22337217.png,1807,1664,1735,3542,divider,-10,0,0,0,1807
22337217_2.png,1777,1641,1710,3487,divider,-10,0,0,54,1777
22449615.png,2003,1845,1915,3918,divider,-10,0,0,0,2003
22463450.png,2201,2108,2199,4400,divider,-10,0,0,40,2201
22504964.png,2061,1961,1963,4024,divider,-10,0,0,0,2061
22732823.png,1934,1829,1865,3799,divider,-10,0,0,45,1934
22749684.png,1951,1825,1638,3639,boundary,-10,0,50,146,2001
22749684_2.png,1661,1681,1644,3556,boundary,-10,0,251,0,1912
22899013.png,2019,1944,1936,4033,divider,-10,0,78,0,2097
22973051.png,1850,1761,1825,3675,divider,-10,0,0,0,1850
23009082.png,1758,1621,1716,3474,divider,-10,0,0,53,1758
23009082_2.png,1941,1786,1858,3799,divider,-10,0,0,0,1941
23020894.png,2154,2105,2062,4216,divider,-10,0,0,0,2154
23020894_2.png,2050,2005,2010,4060,divider,-10,0,0,0,2050
23031301.png,2196,2102,2167,4363,divider,-10,0,0,41,2196
23031301_2.png,2216,2123,2184,4400,divider,-10,0,0,41,2216
23227642.png,1775,1640,1685,3460,divider,-10,0,0,53,1775
23242134.png,1937,1857,1880,3840,divider,-10,0,23,37,1960
23242134_2.png,1827,1751,1771,3620,divider,-10,0,22,36,1849
23294265.png,1728,1595,1645,3373,divider,-10,0,0,52,1728
23294265_2.png,1898,1726,1814,3712,divider,-10,0,0,0,1898
23320162.png,1829,1753,1791,3620,divider,-10,0,0,36,1829
23320162_2.png,1706,1671,1676,3382,divider,-10,0,0,0,1706
23439203.png,1879,1791,1812,3703,divider,-10,6,6,37,1891
5455178.png,1895,1653,1675,3570,divider,-10,0,0,55,1895
5455178_2.png,2035,1746,1824,3859,divider,-10,0,0,0,2035
9147178.png,1898,1820,1878,3776,divider,-10,0,0,36,1898
9147178_2.png,1989,1906,1971,3960,divider,-10,0,0,38,1989
9339896.png,1710,1579,1635,3345,divider,-10,0,0,51,1710
9339896_2.png,1825,1681,1722,3570,divider,-10,0,23,0,1848
